p_symbol,last_close,last_volume,avg_volume,pct_change_1_day,pct_change_1_week,pct_change_1_month,pct_change_3_months,pct_change_1_year,sma_5,ema_5,sma_13,ema_13,sma_20,ema_20,sma_34,ema_34,sma_50,ema_50,sma_89,ema_89,sma_200,ema_200,bband_upper,bband_lower,bband_mid,macd,macd_signal,macd_hist,adx,dmi_plus,dmi_minus,rsi,stoch_k,stoch_d,cci,psar,true_range,atr,williams_r,trix,stochrsi_k,stochrsi_d,momentum,candle,p_date
NMDC,105.6,1529705,2480944.5,-1.72,-3.07,5.34,13.92,10.69,107.96,106.97,104.74,105.39,103.56,103.97,101.01,101.72,98.46,99.95,95.67,97.52,92.77,95.61,110.39,96.72,103.56,2.71,2.52,0.19,38.93,30.64,17.6,58.58,28,52.8,-132.02,101.9,2.5,2.6,-44.08,0.2,0,9.98,5.35,NO PATTERN,26-08-2016
NMDC-1M,106.5,4272000,5860380,-0.79,-2.56,6.13,14.27,11.99,108.21,107.33,104.99,105.69,103.91,104.26,101.3,102.01,98.76,100.23,95.96,97.71,92.56,95.35,110.67,97.16,103.91,2.72,2.51,0.21,34.18,29.59,16.71,60.78,29.34,52.9,-104.33,103.11,2.25,2.56,-37.9,0.2,0,4.16,6.15,,26-08-2016
NMDC-2M,107.2,24000,1674480,-1.02,-2.55,6.99,16.33,10.4,109,108.11,105.7,106.37,104.58,104.85,101.68,102.51,99.14,100.66,96.45,97.99,92.12,95.04,111.42,97.74,104.58,2.86,2.63,0.23,30.13,37.83,21.54,61.96,24.93,51.08,-118.78,103.91,1.15,2.13,-38.02,0.2,0,5.19,7,,26-08-2016
NMDC-3M,107,12000,52600,-1.97,5.63,14.81,41.72,0,108.28,107.23,101.95,103.09,98.42,100.75,97.43,97.74,94.78,95.52,89.31,93.33,,,111.74,85.11,98.42,4.23,3,1.23,11.91,64.23,49.02,64.26,76.19,88.18,-43.53,100.06,4.15,3.03,-22.97,0.25,0,49.24,13.8,,26-08-2016
NOCIL,63.95,1773638,1828066.94,-0.31,7.93,8.67,28.03,32.4,65.06,63.9,60.55,61.47,58.65,60.15,58.02,58.47,56.49,57.16,54.5,55.03,51.85,52.04,66.72,50.58,58.65,2.38,1.64,0.74,27.06,28.27,13.37,63.19,71.02,77.75,-67.61,59.26,2.75,2.89,-27.88,0.24,0,44.63,5.1,NO PATTERN,26-08-2016
NOIDATOLL,23.1,172862,293634.06,1.09,2.67,-1.07,1.09,-7.41,22.8,22.87,22.78,22.89,23.05,23,23.35,23.15,23.43,23.22,23.26,23.28,23.5,23.68,23.88,22.23,23.05,-0.2,-0.22,0.02,28.84,12.85,15.12,50.21,81.64,71.62,122.4,22.25,0.4,0.44,-41.94,-0.01,100,97.24,-0.25,NO PATTERN,26-08-2016
NRBBEARING,117.95,44896,27145.28,0.3,-1.13,6.55,2.65,1.03,118.2,117.93,116.73,116.97,115.77,116.29,114.74,115.64,114.65,115.57,115.99,116.44,123.88,120.02,119.88,111.66,115.77,1.17,0.86,0.31,29.05,21.01,9.33,59.17,11.46,21.08,-76.31,110.27,2.5,3.8,-44.07,-0.02,18.34,11.59,7.25,NO PATTERN,26-08-2016
NSIL,766.9,239,1943.28,-2.18,1.58,0.01,23.47,16.21,772.78,773.29,763.2,767.02,760.09,763.85,770.99,753.96,745.4,739.59,691.21,711.01,666.58,679.98,788.33,731.85,760.09,7.27,6.54,0.73,49.78,28.17,10.3,51.95,50.54,43.51,-21.59,746.69,18.8,31.22,-63.16,0.31,18.7,56.55,0.1,NO PATTERN,26-08-2016
NTPC,157.9,3297802,3864838.08,-0.47,-5.31,-0.72,12.71,24.09,160.1,159.87,161.14,160.59,160.49,160.13,159.18,158.55,157.02,156.4,150.54,151.52,140.48,143.05,165.61,155.36,160.49,1.09,1.72,-0.63,13.6,19.06,21.81,46.69,13.98,18.45,-92.17,169.28,2.55,3.83,-91.32,0.2,0,7.09,-1.15,NO PATTERN,26-08-2016
NTPC-1M,157.45,4716000,6702960,-0.73,-5.8,-0.91,11.55,23.59,160.17,159.84,161.44,160.8,160.94,160.43,159.59,158.92,157.46,156.8,150.99,151.93,140.81,143.39,166.05,155.82,160.94,0.94,1.66,-0.72,13.74,20.28,27.75,45.18,15.53,20.48,-99.29,169.5,2.5,3.61,-95.17,0.2,0,7.61,-1.45,,26-08-2016
